show_id;c_id;first_name;last_name;gender;Age;Country;membership_date;movie_point;device;Enter_Time;Days
s1133;00-0037846;Kimmy;Walczynski;Male;74;Qatar;1/20/2002;3;Tablet;11:02;Wednesday
s198;00-0041533;Ignatius;Springett;Male;56;Dominican Republic;4.08.2019;3;TV;12:58;Sunday
s5555;00-0045747;Corbie;Bittlestone;Male;37;Grenada;10.12.2010;3;TV;08:12;Tuesday
s4680;00-0055274;Baxy;Matton;Female;59;Argentina;4.10.2005;2;PC;22:55;Saturday
s2239;00-0076100;Terrell;Suff;Female;76;Tuvalu;9/29/2010;3;Tablet;14:03;Monday
s1893;00-0116166;Kacie;Offiler;Male;30;Canada;9.01.2018;;PC;06:34;Monday
s5696;00-0363185;Sandro;Admans;Male;39;Malta;11.08.2012;2;TV;05:10;Monday
s6147;00-0380704;Eugene;Lehrahan;Female;34;Colombia;6/27/2007;4;Mobile;16:41;Friday
s665;00-0381660;Wainwright;Corfield;Male;55;Central African Republic;2/20/2001;4;Mobile;13:19;Tuesday
s3003;00-0419202;Dyann;Isoldi;Male;79;South Sudan;1/27/2005;3;TV;04:28;Tuesday
s4564;00-0472287;Grantley;Oret;Male;27;Peru;11.01.2004;;Mobile;16:15;Wednesday
s5000;00-0472832;Elmore;Worner;Female;23;Kazakhstan;12.05.2000;4;Mobile;14:38;Wednesday
s495;00-0566380;Dud;Brain;Male;30;Mali;9/17/2008;3;Tablet;01:33;Monday
s864;00-0571075;Aguie;Conford;Male;44;Tanzania;11/25/2015;3;Tablet;14:24;Tuesday
s3171;00-0624189;Katerina;Rosborough;Male;28;Angola;5/17/2019;4;Mobile;09:27;Tuesday
s7432;00-0715212;Alida;Longley;Female;52;Lesotho;2.04.2002;2;PC;04:52;Sunday
s3400;00-0755645;Laraine;Petre;Male;21;Comoros;9/30/2010;5;Mobile;11:24;Monday
s5352;00-0778934;Gareth;MacCook;Female;53;Seychelles;2/18/2010;;Tablet;13:37;Wednesday
s6438;00-0794247;Scottie;Chestney;Female;64;El Salvador;7.03.2002;;Tablet;14:35;Thursday
s7954;00-0948136;Christophorus;Boseley;Female;72;Spain;9.06.2007;3;Mobile;10:24;Saturday
s5828;00-0971612;Arleyne;Froome;Male;42;Serbia;4.09.2015;5;TV;07:59;Tuesday
s3673;00-1051096;Todd;Cashen;Female;56;Russia;6/20/2014;5;TV;11:50;Monday
s5832;00-1052230;Elmo;McNee;Female;54;Namibia;7/18/2002;;PC;07:43;Wednesday
s3579;00-1100714;Regen;Nafzger;Male;66;Saint Lucia;7/23/2016;2;Mobile;11:41;Thursday
s4358;00-1147503;Penelope;Wenman;Male;68;Ghana;9.10.2019;3;Tablet;13:15;Wednesday
s7970;00-1189819;Rudolf;Reichardt;Male;62;Botswana;5.07.2007;;Tablet;23:43;Sunday
s77;00-1222963;Tobiah;Fruchon;Female;58;Belarus;2/13/2011;3;Mobile;19:04;Tuesday
s3302;00-1268049;Fay;Monnelly;Male;73;United Arab Emirates;2/24/2010;4;TV;20:06;Monday
s4298;00-1277358;Lola;Burrells;Male;52;Angola;3.08.2008;4;Tablet;12:44;Sunday
s3616;00-1284831;Hamel;Edgeler;Male;76;Poland;8.08.2001;3;PC;00:05;Monday
s7039;00-1331085;Shalne;Berntssen;Female;55;Mongolia;12/19/2008;3;PC;13:32;Monday
s6191;00-1418617;Nefen;Russan;Female;50;Georgia;1/21/2007;4;Tablet;11:50;Tuesday
s550;00-1451930;Woodie;Hayhow;Female;30;Poland;8.04.2001;3;PC;19:42;Thursday
s6043;00-1485605;"L;urette";Stango;Male;49;Colombia;11/29/2016;2;Mobile;06:00;Thursday
s6919;00-1499371;Claude;Ales0;Female;58;Tunisia;3/31/2014;5;Mobile;02:19;Wednesday
s7659;00-1557949;Virginia;Teligin;Female;67;Bosnia and Herzegovina;6/27/2014;;TV;01:13;Friday
s860;00-1695354;Starr;Yitzhok;Female;39;Vanuatu;7/14/2011;2;PC;21:32;Friday
s641;00-1722938;Perla;Durrand;Male;42;Indonesia;1.01.2014;3;TV;05:43;Wednesday
s2625;00-1728402;Mahala;McTrustie;Female;20;Bulgaria;4/15/2015;1;PC;11:24;Tuesday
s4264;00-1735797;Hobart;Bertrand;Female;44;Burkina Faso;9/17/2019;3;Mobile;21:46;Tuesday
